gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_No,PaymentMethod_Bank transfer,PaymentMethod_Credit card,PaymentMethod_Electronic check,PaymentMethod_Mailed check,MultipleLines_0,MultipleLines_1,TotalServices,AvgMonthlySpend,TenureGroup,HighValueCustomer,ContractRisk,Charge_Tenure_Interaction,MonthlyToTotalRatio,ExpectedVsActualCharges,ServiceEfficiency,CustomerCluster
1,0,1,1,13,1,1,0,0,0,0,0,0,1,49.95,587.45,0,1,0,0,0,0,0,1,1,0,2,41.96071428571429,1,0,2,649.35,0.0848840173336732,61.89999999999998,195.8166666666667,1
1,0,0,0,16,1,0,0,0,0,0,0,2,0,18.95,326.8,0,0,0,1,0,1,0,0,1,0,1,19.223529411764705,1,0,0,303.2,0.05780964002440512,-23.600000000000023,163.4,1
1,0,1,0,58,1,0,0,1,0,1,1,1,0,100.35,5681.1,0,0,1,0,0,1,0,0,0,1,4,96.28983050847458,2,1,1,5820.299999999999,0.017660724028088205,139.1999999999989,1136.22,2
1,0,0,0,49,1,0,1,1,0,1,1,0,1,103.7,5036.3,1,0,1,0,1,0,0,0,0,1,5,100.726,2,1,2,5081.3,0.020586425267504416,45.0,839.3833333333333,2
1,0,0,0,25,1,1,0,1,1,1,1,0,1,105.5,2686.05,0,0,1,0,0,0,1,0,1,0,6,103.3096153846154,1,1,2,2637.5,0.03926238812080162,-48.55000000000018,383.7214285714286,0
0,0,1,1,69,1,1,1,1,1,1,1,2,0,113.25,7895.15,0,0,1,0,0,1,0,0,0,1,7,112.78785714285713,2,1,0,7814.25,0.014342432704545887,-80.89999999999964,986.89375,2
0,0,0,0,52,1,0,0,0,0,0,0,1,0,20.65,1022.95,0,0,0,1,0,0,0,1,1,0,1,19.300943396226415,2,0,1,1073.8,0.020167000341813564,50.84999999999991,511.475,1
1,0,0,1,71,1,1,0,1,0,1,1,2,0,106.7,7382.25,0,0,1,0,1,0,0,0,0,1,5,102.53125,2,1,0,7575.7,0.01445163037957539,193.44999999999982,1230.375,2
0,0,1,1,10,1,0,0,1,1,0,0,0,0,55.2,528.35,1,1,0,0,0,1,0,0,1,0,3,48.03181818181818,0,0,2,552.0,0.10427883253046188,23.649999999999977,132.0875,1
0,0,0,0,21,1,0,1,1,0,0,1,0,1,90.05,1862.9,0,0,1,0,0,0,1,0,1,0,4,84.67727272727274,1,1,2,1891.05,0.04831267771876173,28.149999999999864,372.58000000000004,0
1,1,0,0,1,0,0,0,1,0,0,1,0,1,39.65,39.65,1,1,0,0,0,0,1,0,1,0,2,19.825,0,0,2,39.65,0.97539975399754,0.0,13.216666666666667,1
1,0,1,0,12,1,0,0,0,0,0,0,1,0,19.8,202.25,0,0,0,1,1,0,0,0,1,0,1,15.557692307692308,0,0,1,237.60000000000002,0.0974169741697417,35.35000000000002,101.125,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.15,20.15,1,0,0,1,0,0,0,1,1,0,1,10.075,0,0,2,20.15,0.9527186761229315,0.0,10.075,1
0,0,1,0,58,1,0,1,0,1,0,0,2,1,59.9,3505.1,0,1,0,0,0,1,0,0,0,1,3,59.40847457627118,2,0,0,3474.2,0.017084509854254016,-30.90000000000009,876.275,2
1,0,1,1,49,1,1,1,0,1,0,0,0,0,59.6,2920.4,0,1,0,0,0,1,0,0,1,0,4,58.408,2,0,2,2920.4,0.020401177517628533,0.0,584.08,1
0,0,0,0,30,1,1,1,0,0,0,0,0,1,55.3,1530.6,0,1,0,0,1,0,0,0,1,0,3,49.37419354838709,1,0,2,1659.0,0.03610603290676417,128.4000000000001,382.65,1
1,0,1,1,47,1,0,1,0,0,1,1,0,1,99.35,4749.15,1,0,1,0,0,0,1,0,0,1,4,98.940625,2,1,2,4669.45,0.020915128995926444,-79.69999999999982,949.8299999999999,2
1,0,1,1,1,0,0,1,0,0,0,0,0,0,30.2,30.2,1,1,0,0,0,0,1,0,1,0,1,15.1,0,0,2,30.2,0.967948717948718,0.0,15.1,1
1,0,1,0,72,1,1,1,1,1,1,1,2,1,90.25,6369.45,0,1,0,0,0,1,0,0,0,1,7,87.2527397260274,2,1,0,6498.0,0.014166974075614753,128.55000000000018,796.18125,2
0,0,0,1,17,1,0,0,0,0,1,1,0,1,64.7,1093.1,1,1,0,0,0,0,0,1,1,0,3,60.727777777777774,1,0,2,1099.9,0.05913536239831826,6.800000000000182,273.275,1
0,1,1,0,71,1,1,1,1,1,0,0,2,1,96.35,6766.95,0,0,1,0,0,1,0,0,0,1,5,93.98541666666667,2,1,0,6840.849999999999,0.014236216284103754,73.89999999999964,1127.825,2
1,1,1,0,2,1,0,0,1,0,1,1,0,1,95.5,181.65,0,0,1,0,0,1,0,0,1,0,4,60.550000000000004,0,1,2,191.0,0.5228579249931563,9.349999999999994,36.33,0
0,0,1,1,27,1,1,1,1,1,0,0,1,0,66.15,1874.45,0,1,0,0,0,0,0,1,1,0,5,66.94464285714285,1,0,1,1786.0500000000002,0.03527153483164041,-88.39999999999986,312.40833333333336,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,0,0,1,1,0,0,0,1,0,1,10.1,0,0,2,20.2,0.9528301886792453,0.0,10.1,1
1,1,0,0,1,1,0,0,0,0,0,0,0,0,45.25,45.25,0,1,0,0,1,0,0,0,1,0,1,22.625,0,0,2,45.25,0.9783783783783784,0.0,22.625,1
0,0,1,1,72,1,1,1,0,1,1,0,2,0,99.9,7251.7,0,0,1,0,1,0,0,0,0,1,5,99.33835616438355,2,1,0,7192.8,0.013774180649964841,-58.899999999999636,1208.6166666666666,2
1,0,0,0,5,1,0,0,0,0,0,0,0,1,69.7,316.9,1,0,1,0,0,0,1,0,1,0,1,52.81666666666666,0,0,2,348.5,0.21925133689839574,31.600000000000023,158.45,0
0,0,0,0,46,1,0,0,1,0,0,0,0,1,74.8,3548.3,0,0,1,0,0,1,0,0,1,0,2,75.49574468085106,2,1,2,3440.7999999999997,0.021074578085819737,-107.50000000000045,1182.7666666666667,0
1,0,0,0,34,1,0,1,1,0,1,1,0,1,106.35,3549.25,1,0,1,0,0,0,1,0,0,1,5,101.40714285714286,1,1,2,3615.8999999999996,0.02995563692697697,66.64999999999964,591.5416666666666,0
0,0,0,0,11,1,0,0,1,0,1,1,0,1,97.85,1105.4,1,0,1,0,1,0,0,0,0,1,4,92.11666666666667,0,1,2,1076.35,0.08843998553868401,-29.050000000000182,221.08,0
1,0,1,1,10,1,0,1,0,0,0,0,1,0,49.55,475.7,0,1,0,0,0,0,0,1,1,0,2,43.24545454545454,0,0,1,495.5,0.1039437801552339,19.80000000000001,158.56666666666666,1
0,0,1,1,70,1,1,1,0,0,1,0,2,1,69.2,4872.35,0,1,0,0,0,0,1,0,0,1,4,68.62464788732395,2,0,0,4844.0,0.01419967783967907,-28.350000000000364,974.47,2
0,0,1,1,17,1,0,0,0,0,0,0,1,0,20.75,418.25,0,0,0,1,0,0,0,1,1,0,1,23.23611111111111,1,0,1,352.75,0.04949314251639833,-65.5,209.125,1
0,0,0,0,63,1,1,1,1,1,1,0,2,1,79.85,4861.45,0,1,0,0,0,1,0,0,0,1,6,75.96015625,2,1,0,5030.549999999999,0.016421762691647215,169.09999999999945,694.4928571428571,2
0,0,1,0,13,1,1,1,0,1,1,0,0,1,76.2,981.45,0,1,0,0,0,0,1,0,0,1,5,70.10357142857143,1,1,2,990.6,0.07756119904320831,9.149999999999977,163.57500000000002,0
0,0,0,0,49,1,0,0,0,0,0,1,0,1,84.5,3906.7,0,0,1,0,0,0,1,0,0,1,2,78.134,2,1,2,4140.5,0.021623973181155155,233.80000000000018,1302.2333333333333,0
1,0,0,0,2,1,0,1,0,0,0,0,0,1,49.25,97.0,0,1,0,0,0,0,0,1,1,0,2,32.333333333333336,0,0,2,98.5,0.5025510204081632,1.5,32.333333333333336,1
0,0,0,0,2,1,0,0,0,0,1,0,0,1,80.65,144.15,1,0,1,0,0,0,1,0,1,0,2,48.050000000000004,0,1,2,161.3,0.555632104719256,17.150000000000006,48.050000000000004,0
1,0,0,0,52,1,1,0,0,1,1,1,2,1,79.75,4217.8,0,1,0,0,0,1,0,0,0,1,5,79.5811320754717,2,1,0,4147.0,0.01890347966246326,-70.80000000000018,702.9666666666667,2
0,0,1,1,69,1,1,0,1,1,0,0,2,1,64.15,4254.1,0,1,0,0,0,1,0,0,0,1,4,60.77285714285715,2,0,0,4426.35,0.015076026415360391,172.25,850.82,2
0,1,0,0,43,1,0,1,0,0,1,0,0,1,90.25,3838.75,0,0,1,0,0,0,1,0,0,1,3,87.24431818181819,2,1,2,3880.75,0.023504134383748942,42.0,959.6875,0
0,0,0,0,15,1,1,0,0,0,1,1,0,1,99.1,1426.4,1,0,1,0,0,1,0,0,1,0,4,89.15,1,1,2,1486.5,0.06942693008266777,60.09999999999991,285.28000000000003,0
0,1,1,0,25,1,1,0,0,1,1,0,0,1,69.5,1752.65,0,1,0,0,0,1,0,0,0,1,4,67.40961538461539,1,0,2,1737.5,0.039631625466883355,-15.150000000000091,350.53000000000003,0
0,1,1,0,8,1,0,1,0,0,0,0,0,1,80.65,633.3,1,0,1,0,0,1,0,0,0,1,2,70.36666666666666,0,1,2,645.2,0.12714803720636925,11.900000000000091,211.1,0
0,1,1,1,60,1,1,1,1,1,0,1,1,1,74.85,4456.35,0,1,0,0,0,1,0,0,1,0,6,73.05491803278689,2,1,1,4491.0,0.01679248881061617,34.649999999999636,636.6214285714286,2
1,1,0,0,18,1,0,0,0,0,1,1,0,1,95.45,1752.55,1,0,1,0,0,0,1,0,0,1,3,92.23947368421052,1,1,2,1718.1000000000001,0.05443243705625731,-34.44999999999982,438.1375,0
0,0,1,1,63,1,1,0,0,0,1,1,0,1,99.65,6311.2,0,0,1,0,0,1,0,0,0,1,4,98.6125,2,1,2,6277.950000000001,0.01578688888184785,-33.24999999999909,1262.24,2
1,1,1,1,66,1,0,1,1,1,1,1,1,1,108.45,7076.35,0,0,1,0,0,0,1,0,0,1,6,105.61716417910448,2,1,1,7157.7,0.0153235321130084,81.34999999999945,1010.907142857143,2
0,0,1,1,34,1,0,0,0,0,0,0,2,0,24.95,894.3,0,0,0,1,0,1,0,0,0,1,1,25.55142857142857,1,0,0,848.3,0.02786775382553334,-46.0,447.15,1
0,0,0,0,72,1,0,0,1,1,1,1,2,1,107.5,7853.7,0,0,1,0,0,1,0,0,0,1,5,107.58493150684932,2,1,0,7740.0,0.013686073306428,-113.69999999999982,1308.95,2
0,0,1,0,47,1,0,0,1,0,1,1,0,1,100.5,4707.1,0,0,1,0,0,0,1,0,0,1,4,98.06458333333335,2,1,2,4723.5,0.021346190607676133,16.399999999999636,941.4200000000001,2
1,0,0,0,60,1,0,1,0,0,1,0,0,1,89.9,5450.7,0,0,1,0,1,0,0,0,0,1,3,89.35573770491803,2,1,2,5394.0,0.01649026909037548,-56.69999999999982,1362.675,2
1,0,1,0,72,0,1,1,1,0,0,0,2,0,42.1,2962.0,0,1,0,0,1,0,0,0,1,0,3,40.57534246575342,2,0,0,3031.2000000000003,0.01420857239284509,69.20000000000027,740.5,1
0,0,1,1,18,1,0,0,1,1,0,0,1,1,54.4,957.1,0,1,0,0,0,1,0,0,1,0,3,50.373684210526314,1,0,1,979.1999999999999,0.056779041853668714,22.09999999999991,239.275,1
0,0,0,0,9,1,0,0,0,0,1,1,0,0,94.4,857.25,1,0,1,0,0,0,1,0,0,1,3,85.725,0,1,2,849.6,0.10999126128750365,-7.649999999999977,214.3125,0
0,0,0,0,3,1,0,1,0,1,1,1,0,1,56.2,244.1,0,1,0,0,0,0,1,0,1,0,5,61.025,0,0,2,168.60000000000002,0.22929416564667485,-75.49999999999997,40.68333333333333,0
1,0,1,0,47,1,0,0,0,0,0,0,1,1,78.9,3650.35,0,0,1,0,0,0,1,0,0,1,1,76.04895833333333,2,1,1,3708.3,0.02160844619113479,57.95000000000027,1825.175,2
0,0,0,0,31,1,0,1,1,1,1,1,2,0,79.2,2497.2,0,1,0,0,0,0,0,1,1,0,6,78.0375,1,1,0,2455.2000000000003,0.03170282603474502,-41.999999999999545,356.74285714285713,2
0,0,1,1,50,1,0,0,0,0,0,0,2,0,20.15,930.9,0,0,0,1,1,0,0,0,1,0,1,18.25294117647059,2,0,0,1007.4999999999999,0.021622491683657045,76.59999999999991,465.45,1
1,0,0,0,10,1,1,0,1,0,0,0,0,1,79.85,887.35,0,0,1,0,0,0,0,1,1,0,3,80.66818181818182,0,1,2,798.5,0.08988574323183429,-88.85000000000002,221.8375,0
1,0,0,0,1,1,0,0,0,1,0,0,0,0,49.05,49.05,0,1,0,0,0,0,0,1,1,0,2,24.525,0,0,2,49.05,0.98001998001998,0.0,16.349999999999998,1
0,0,1,1,52,1,0,0,0,0,0,0,1,1,20.4,1090.65,0,0,0,1,0,0,1,0,1,0,1,20.578301886792456,2,0,1,1060.8,0.01868730820317867,-29.850000000000136,545.325,1
1,1,1,1,64,1,1,0,1,1,1,1,2,1,111.6,7099.0,0,0,1,0,1,0,0,0,0,1,6,109.21538461538462,2,1,0,7142.4,0.015718309859154928,43.399999999999636,1014.1428571428571,2
1,0,1,1,62,1,0,0,0,0,0,0,2,1,24.25,1424.6,0,0,0,1,1,0,0,0,0,1,1,22.61269841269841,2,0,0,1503.5,0.01701038159371493,78.90000000000009,712.3,1
0,0,0,1,3,1,1,0,0,1,0,1,0,1,64.5,177.4,0,1,0,0,0,0,1,0,1,0,4,44.35,0,0,2,193.5,0.3615470852017937,16.099999999999994,35.480000000000004,1
0,1,0,0,56,1,1,1,1,0,1,1,1,0,110.5,6139.5,0,0,1,0,0,0,1,0,0,1,6,107.71052631578948,2,1,1,6188.0,0.017995277257552317,48.5,877.0714285714286,2
0,0,0,0,46,1,0,0,0,0,0,1,1,0,55.65,2688.85,0,1,0,0,0,1,0,0,1,0,2,57.2095744680851,2,0,1,2559.9,0.02068888599736045,-128.94999999999982,896.2833333333333,1
0,0,1,1,8,1,1,1,0,0,0,0,0,0,54.65,482.25,0,1,0,0,0,0,0,1,1,0,3,53.583333333333336,0,0,2,437.2,0.11308846352819452,-45.05000000000001,120.5625,1
1,1,0,0,30,1,1,1,0,0,1,1,0,1,74.75,2111.3,0,1,0,0,0,0,1,0,1,0,5,68.10645161290323,1,1,2,2242.5,0.03538796572456564,131.19999999999982,351.8833333333334,0
0,0,1,1,45,1,0,0,0,0,0,0,1,1,25.9,1216.6,0,0,0,1,0,1,0,0,0,1,1,26.44782608695652,2,0,1,1165.5,0.021271353482260183,-51.09999999999991,608.3,1
0,0,0,1,1,1,0,0,0,0,1,0,0,1,79.35,79.35,1,0,1,0,0,0,1,0,1,0,2,39.675,0,1,2,79.35,0.9875544492843809,0.0,26.45,0
0,0,1,1,11,0,1,0,0,0,1,1,0,0,50.55,565.35,0,1,0,0,0,0,1,0,1,0,3,47.112500000000004,0,0,2,556.05,0.0892557605720844,-9.300000000000068,141.3375,1
0,0,1,0,7,1,0,0,1,0,0,0,0,1,75.15,496.9,1,0,1,0,1,0,0,0,1,0,2,62.1125,0,1,2,526.0500000000001,0.15093392247439247,29.15000000000009,165.63333333333333,0
0,0,0,0,42,1,0,1,1,1,1,1,0,1,103.8,4327.5,0,0,1,0,1,0,0,0,1,0,6,100.63953488372093,2,1,2,4359.599999999999,0.02398059373917061,32.099999999999454,618.2142857142857,2
0,0,1,0,49,1,0,0,0,0,0,0,2,1,20.15,973.35,0,0,0,1,1,0,0,0,1,0,1,19.467,2,0,0,987.3499999999999,0.02068045363575717,13.999999999999886,486.675,1
1,0,0,0,9,1,0,1,0,0,1,1,0,1,99.3,918.75,0,0,1,0,0,1,0,0,0,1,4,91.875,0,1,2,893.6999999999999,0.10796412068496875,-25.050000000000068,183.75,0
0,0,1,0,35,1,1,0,0,0,1,0,1,1,62.15,2215.45,0,1,0,0,1,0,0,0,1,0,3,61.540277777777774,1,0,1,2175.25,0.028040334769563944,-40.19999999999982,553.8625,1
0,0,1,1,48,1,0,0,0,0,0,0,2,0,20.65,1057.0,0,0,0,1,0,0,1,0,1,0,1,21.571428571428573,2,0,0,991.1999999999999,0.0195179584120983,-65.80000000000007,528.5,1
0,0,1,1,46,1,0,0,0,0,0,0,2,1,19.95,927.1,0,0,0,1,0,0,0,1,1,0,1,19.72553191489362,2,0,0,917.6999999999999,0.02149552849908415,-9.400000000000091,463.55,1
1,0,1,0,29,0,0,0,0,0,1,0,0,0,33.75,1009.25,0,1,0,0,0,0,0,1,1,0,1,33.641666666666666,1,0,2,978.75,0.0334075723830735,-30.5,504.625,1
1,0,1,1,30,1,0,1,1,0,0,0,0,0,82.05,2570.2,0,0,1,0,1,0,0,0,1,0,3,82.90967741935484,1,1,2,2461.5,0.031911169881767266,-108.69999999999982,642.55,0
1,1,0,0,1,1,0,0,0,1,0,0,0,1,74.7,74.7,0,0,1,0,0,0,1,0,1,0,2,37.35,0,1,2,74.7,0.9867899603698811,0.0,24.900000000000002,0
1,0,1,1,66,1,1,0,1,1,1,1,2,1,84.0,5714.25,0,1,0,0,0,0,0,1,0,1,6,85.28731343283582,2,1,0,5544.0,0.014697519793534841,-170.25,816.3214285714286,2
0,0,0,0,65,1,1,1,1,0,1,1,0,1,111.05,7107.0,0,0,1,0,0,1,0,0,0,1,6,107.68181818181819,2,1,2,7218.25,0.015623241418120427,111.25,1015.2857142857143,2
1,0,0,0,72,1,0,1,1,0,1,1,2,1,100.9,7459.05,0,0,1,0,1,0,0,0,0,1,5,102.17876712328767,2,1,0,7264.8,0.013525378516229784,-194.25,1243.175,2
0,0,0,0,12,1,0,0,0,0,0,0,0,1,78.95,927.35,1,0,1,0,0,0,1,0,0,1,1,71.33461538461539,0,1,2,947.4000000000001,0.0850433564927021,20.050000000000068,463.675,0
1,0,1,1,71,1,1,1,0,1,0,0,1,1,66.85,4748.7,0,1,0,0,0,0,1,0,0,1,4,65.95416666666667,2,0,1,4746.349999999999,0.014074573130934584,-2.350000000000364,949.74,2
1,0,0,0,5,1,0,0,0,0,0,0,0,0,21.05,113.85,1,0,0,1,0,0,0,1,1,0,1,18.974999999999998,0,0,2,105.25,0.18328254244666958,-8.599999999999994,56.925,1
1,0,0,0,52,1,0,0,0,0,0,0,2,0,21.0,1107.2,0,0,0,1,1,0,0,0,1,0,1,20.89056603773585,2,0,0,1092.0,0.018949648077964266,-15.200000000000045,553.6,1
0,1,1,0,25,1,0,1,1,0,1,1,0,1,98.5,2514.5,1,0,1,0,0,0,1,0,1,0,5,96.71153846153847,1,1,2,2462.5,0.03915722520373683,-52.0,419.0833333333333,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,0,0,1,0,0,0,1,1,0,1,10.1,0,0,2,20.2,0.9528301886792453,0.0,10.1,1
0,0,1,1,1,1,0,0,0,0,0,0,0,0,20.15,19.45,0,0,0,1,0,0,1,0,1,0,1,9.725,0,0,2,20.15,0.9853300733496332,0.6999999999999993,9.725,1
1,0,0,0,38,1,0,0,1,1,1,0,1,0,95.0,3605.6,0,0,1,0,1,0,0,0,0,1,4,92.45128205128205,2,1,1,3610.0,0.026340597792935176,4.400000000000091,721.12,2
0,1,1,0,66,0,0,1,1,0,1,0,1,0,45.55,3027.25,0,1,0,0,1,0,0,0,1,0,3,45.18283582089552,2,0,1,3006.2999999999997,0.015041690745480061,-20.950000000000273,756.8125,1
1,0,1,0,68,1,0,1,1,1,1,1,2,1,110.0,7611.85,1,0,1,0,1,0,0,0,0,1,6,110.31666666666668,2,1,0,7480.0,0.014449253564696531,-131.85000000000036,1087.4071428571428,2
1,0,0,0,5,0,0,0,0,0,0,0,0,0,24.3,100.2,0,1,0,0,0,0,0,1,1,0,0,16.7,0,0,2,121.5,0.24011857707509882,21.299999999999997,100.2,1
0,0,1,1,72,1,1,1,0,0,1,1,1,1,104.15,7303.05,0,0,1,0,0,0,1,0,0,1,5,100.04178082191781,2,1,1,7498.8,0.014259212354789467,195.75,1217.175,2
0,0,0,0,32,0,1,0,0,0,0,0,1,0,30.15,927.65,0,1,0,0,0,0,0,1,1,0,1,28.11060606060606,1,0,1,964.8,0.0324664836052334,37.14999999999998,463.825,1
1,0,0,0,43,1,0,0,0,0,1,1,1,0,94.35,3921.3,0,0,1,0,0,0,0,1,0,1,3,89.12045454545455,2,1,1,4057.0499999999997,0.024054763786553805,135.74999999999955,980.325,2
1,0,1,1,72,1,0,0,0,0,0,0,2,0,19.4,1363.25,0,0,0,1,0,1,0,0,1,0,1,18.674657534246574,2,0,0,1396.8,0.014220267546270845,33.549999999999955,681.625,1
1,0,1,0,55,1,1,1,0,0,1,0,0,1,96.75,5238.9,1,0,1,0,0,0,1,0,0,1,4,93.55178571428571,2,1,2,5321.25,0.018464092826198975,82.35000000000036,1047.78,2
0,0,0,0,52,1,1,0,1,1,0,0,1,0,57.95,3042.25,0,1,0,0,0,1,0,0,1,0,4,57.40094339622642,2,0,1,3013.4,0.019042142446397767,-28.84999999999991,608.45,1
0,0,0,0,43,1,0,1,1,0,1,0,0,1,91.65,3954.1,0,0,1,0,0,0,1,0,1,0,4,89.86590909090908,2,1,2,3940.9500000000003,0.02317261257616748,-13.149999999999636,790.8199999999999,0
0,1,1,0,37,1,0,0,0,0,0,0,0,1,76.5,2868.15,1,0,1,0,0,0,1,0,0,1,1,75.47763157894737,2,1,2,2830.5,0.026662948957008173,-37.65000000000009,1434.075,0
0,0,1,1,64,0,0,1,0,1,1,1,2,1,54.6,3423.5,0,1,0,0,0,0,1,0,1,0,4,52.66923076923077,2,0,0,3494.4,0.015943933420937365,70.90000000000009,684.7,2
1,0,1,1,3,1,1,1,0,0,1,0,0,0,89.85,248.4,0,0,1,0,0,0,1,0,1,0,4,62.1,0,1,2,269.54999999999995,0.3602646351242983,21.14999999999995,49.68,0
0,0,0,0,36,0,1,0,0,0,0,0,2,0,31.05,1126.35,0,1,0,0,1,0,0,0,1,0,1,30.44189189189189,1,0,0,1117.8,0.02754246684703065,-8.549999999999955,563.175,1
0,0,1,1,10,1,1,0,0,0,1,1,0,1,100.25,1064.65,1,0,1,0,0,0,1,0,0,1,4,96.78636363636365,0,1,2,1002.5,0.09407403931872566,-62.15000000000009,212.93,0
0,0,0,0,41,1,0,0,0,0,0,0,2,0,20.65,835.15,0,0,0,1,0,0,0,1,1,0,1,19.88452380952381,2,0,0,846.65,0.0246965257429887,11.5,417.575,1
1,0,1,1,27,1,0,1,0,1,0,0,0,1,85.2,2300.4,0,0,1,0,0,1,0,0,0,1,3,82.15714285714286,1,1,2,2300.4,0.037020943773355346,0.0,575.1,0
0,0,1,1,56,1,0,0,1,0,1,1,1,1,99.8,5515.45,0,0,1,0,0,1,0,0,0,1,4,96.76228070175438,2,1,1,5588.8,0.01809134497729518,73.35000000000036,1103.09,2
0,0,0,0,6,1,0,0,0,0,0,0,0,0,20.7,112.75,0,0,0,1,0,0,0,1,1,0,1,16.107142857142858,0,0,2,124.19999999999999,0.18197802197802196,11.449999999999989,56.375,1
1,0,0,0,3,1,0,0,0,0,0,0,0,1,74.4,229.55,1,0,1,0,0,0,1,0,0,1,1,57.3875,0,1,2,223.20000000000002,0.32270657124268054,-6.349999999999994,114.775,0
0,0,1,1,7,1,1,0,0,0,0,0,0,0,50.7,350.35,0,1,0,0,0,0,0,1,1,0,2,43.79375,0,0,2,354.90000000000003,0.14430055500213462,4.550000000000011,116.78333333333335,1
0,0,1,1,4,1,0,0,0,0,0,0,0,0,20.85,62.9,0,0,0,1,0,0,0,1,1,0,1,12.58,0,0,2,83.4,0.3262910798122066,20.500000000000007,31.45,1
1,0,0,0,33,1,1,0,0,1,1,0,2,1,88.95,3027.65,0,0,1,0,0,0,1,0,1,0,4,89.0485294117647,1,1,0,2935.35,0.029369521073745727,-92.30000000000018,605.53,2
0,1,0,0,27,1,0,0,1,0,0,0,0,1,78.05,2135.5,1,0,1,0,0,0,1,0,0,1,2,76.26785714285714,1,1,2,2107.35,0.03653171074186754,-28.15000000000009,711.8333333333334,0
1,0,1,0,72,1,0,0,0,0,0,0,2,1,23.55,1723.95,0,0,0,1,1,0,0,0,0,1,1,23.615753424657534,2,0,0,1695.6000000000001,0.013652569639699701,-28.34999999999991,861.975,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,19.75,19.75,0,0,0,1,0,0,0,1,1,0,1,9.875,0,0,2,19.75,0.9518072289156626,0.0,9.875,1
1,1,0,0,71,0,1,1,0,0,1,1,1,1,56.45,3985.35,0,1,0,0,0,0,1,0,1,0,4,55.35208333333333,2,0,1,4007.9500000000003,0.014160823811255913,22.600000000000364,797.0699999999999,2
0,0,0,0,13,1,0,0,0,0,0,1,0,1,85.95,1215.65,0,0,1,0,0,0,1,0,0,1,2,86.83214285714287,1,1,2,1117.3500000000001,0.07064480335347059,-98.29999999999995,405.2166666666667,0
